,ID,subscribed
0,38441,0
1,40403,1
2,3709,0
3,37422,0
4,12527,0
5,16013,0
6,196,0
7,8516,0
8,31208,0
9,38462,0
10,17041,0
11,4920,0
12,802,0
13,1738,0
14,9565,0
15,29743,1
16,34946,0
17,1671,0
18,2868,0
19,6478,0
20,1572,0
21,44771,0
22,30088,0
23,19021,0
24,15704,0
25,39812,1
26,21170,0
27,923,0
28,17887,0
29,6778,0
30,18586,0
31,7501,0
32,13932,0
33,16318,0
34,8055,0
35,39970,0
36,5903,0
37,8507,0
38,27726,0
39,28430,0
40,3157,0
41,40327,0
42,17768,0
43,44637,1
44,28671,0
45,6074,0
46,44392,1
47,22711,0
48,41313,0
49,32038,0
50,23107,0
51,5702,0
52,33330,0
53,22357,1
54,10518,0
55,17096,0
56,43876,0
57,16970,0
58,29949,0
59,13281,0
60,8266,0
61,15089,0
62,20091,0
63,17458,0
64,10378,0
65,27033,0
66,29228,0
67,9839,0
68,2477,0
69,20206,0
70,10782,0
71,25825,0
72,20256,0
73,1317,0
74,38949,0
75,35365,0
76,22834,0
77,988,0
78,16241,0
79,30947,0
80,24402,0
81,42898,0
82,30794,0
83,31755,0
84,41412,1
85,22497,0
86,40939,1
87,4834,0
88,32014,0
89,13584,0
90,14004,0
91,4204,0
92,20358,0
93,1938,0
94,39385,0
95,26264,0
96,24359,0
97,25605,0
98,6306,0
99,34217,0
100,30533,1
101,13893,0
102,21255,0
103,3318,0
104,18406,0
105,35176,0
106,876,0
107,39785,0
108,28104,0
109,13976,0
110,37719,0
111,18822,0
112,7345,0
113,27209,0
114,3870,0
115,43824,1
116,25178,0
117,22487,1
118,16823,0
119,720,0
120,20649,0
121,5723,0
122,30214,0
123,5357,0
124,5420,0
125,28607,0
126,2799,0
127,40420,0
128,44698,0
129,22563,0
130,9519,0
131,42903,0
132,33189,0
133,32604,1
134,43088,0
135,27773,0
136,15018,0
137,27991,0
138,21980,0
139,39238,0
140,40343,1
141,36542,0
142,12897,0
143,34781,0
144,5030,0
145,30468,0
146,31645,0
147,43949,0
148,37482,0
149,27319,0
150,9757,0
151,19208,0
152,13326,0
153,39364,0
154,33434,0
155,24116,0
156,43255,1
157,44815,0
158,4931,0
159,12012,0
160,23416,0
161,40286,0
162,8160,0
163,1747,0
164,26687,0
165,5439,0
166,25672,0
167,30587,0
168,40624,0
169,13524,1
170,11861,0
171,18837,0
172,35570,0
173,5970,0
174,29195,1
175,1532,0
176,29144,0
177,31347,0
178,39183,0
179,41087,0
180,26280,0
181,37054,0
182,5135,0
183,15685,0
184,28522,0
185,43859,0
186,26886,0
187,20186,0
188,39866,0
189,21261,0
190,24452,0
191,8518,0
192,29171,0
193,5043,0
194,30255,0
195,478,0
196,32764,0
197,29423,0
198,13607,0
199,24844,0
200,2003,0
201,9654,0
202,31418,0
203,27119,0
204,7844,0
205,16272,0
206,24178,0
207,13800,0
208,38570,0
209,12249,0
210,9846,0
211,43244,1
212,24457,0
213,9681,0
214,446,0
215,32326,0
216,30105,0
217,5725,0
218,34051,0
219,43346,1
220,43574,1
221,27947,0
222,14411,0
223,4486,0
224,25082,0
225,15027,0
226,10447,0
227,182,0
228,13358,0
229,33229,0
230,14064,0
231,1198,0
232,7047,0
233,23700,0
234,41547,0
235,27250,0
236,1772,0
237,26733,0
238,23970,0
239,9504,0
240,6645,0
241,41808,0
242,16403,0
243,11865,0
244,6577,0
245,35451,0
246,19013,0
247,44948,0
248,23205,1
249,20933,0
250,13872,0
251,22151,1
252,5060,0
253,43986,0
254,38428,0
255,6285,0
256,31498,1
257,3132,0
258,18662,0
259,7481,0
260,37641,0
261,39128,0
262,31749,0
263,27706,0
264,20243,0
265,41228,0
266,16277,0
267,1623,0
268,39236,0
269,28643,0
270,3356,0
271,35457,0
272,39188,0
273,14893,0
274,10038,0
275,30681,0
276,20593,0
277,5634,0
278,6142,0
279,38305,0
280,24560,0
281,7674,0
282,41398,0
283,29891,0
284,22308,0
285,40780,1
286,3432,0
287,37447,0
288,6500,0
289,35866,0
290,24953,0
291,23792,0
292,6876,0
293,37554,0
294,23512,0
295,18366,0
296,17896,0
297,34811,0
298,18642,0
299,7718,0
300,6124,0
301,37835,0
302,38087,0
303,42845,0
304,14491,0
305,22894,0
306,44472,0
307,23579,0
308,5076,0
309,24646,0
310,10179,0
311,4159,0
312,39237,0
313,2314,0
314,22231,0
315,13926,0
316,44299,1
317,7944,0
318,28462,0
319,23574,0
320,1216,0
321,25440,0
322,4870,0
323,18741,0
324,24667,0
325,34480,0
326,10280,0
327,40029,0
328,17324,0
329,37195,0
330,16596,0
331,3212,0
332,2222,0
333,18816,0
334,41030,0
335,18953,0
336,42713,0
337,12581,0
338,16798,0
339,16839,0
340,18958,0
341,37755,0
342,20446,0
343,45137,0
344,5347,0
345,2276,0
346,36426,0
347,14778,0
348,31120,0
349,24598,0
350,11165,0
351,22694,0
352,31393,0
353,4002,0
354,44851,1
355,30033,0
356,8050,0
357,23713,0
358,11841,0
359,3943,0
360,22830,0
361,22753,0
362,27567,0
363,11246,0
364,10413,0
365,21228,0
366,7857,0
367,18498,0
368,3831,0
369,9626,0
370,28361,0
371,24328,0
372,18235,0
373,32475,0
374,42669,1
375,12794,0
376,26149,0
377,14902,0
378,35154,0
379,35725,0
380,41369,0
381,28741,0
382,36335,0
383,30479,0
384,24023,0
385,27182,0
386,21877,0
387,38838,0
388,18541,1
389,35531,0
390,30020,0
391,26286,0
392,41744,1
393,25853,0
394,13774,0
395,18674,0
396,38902,0
397,31952,0
398,16901,0
399,28201,0
400,8291,0
401,22795,0
402,6670,0
403,15885,0
404,6704,0
405,41666,1
406,38320,0
407,39014,0
408,34084,0
409,37560,0
410,38585,0
411,8658,0
412,16543,0
413,25952,0
414,25890,0
415,14452,0
416,32531,0
417,24583,0
418,7443,0
419,7626,0
420,29075,0
421,18566,0
422,3927,0
423,22853,0
424,38534,0
425,39129,0
426,27587,0
427,11116,0
428,24590,0
429,25725,0
430,12380,0
431,32243,0
432,23119,0
433,25047,0
434,27337,0
435,5039,0
436,1021,0
437,32794,1
438,4828,0
439,30559,0
440,3968,0
441,16667,0
442,16330,0
443,13838,0
444,27723,0
445,23950,0
446,5992,0
447,17666,0
448,42497,0
449,25681,0
450,21540,0
451,26581,0
452,15768,0
453,8935,0
454,22208,0
455,32424,1
456,4154,0
457,45101,0
458,4731,0
459,31589,0
460,38723,0
461,24685,0
462,23126,0
463,39121,0
464,32183,0
465,14541,0
466,43556,0
467,1908,0
468,24530,0
469,8628,0
470,7876,0
471,22489,0
472,25370,0
473,5305,0
474,28263,0
475,42316,0
476,16756,0
477,7726,0
478,43968,1
479,33522,0
480,12060,0
481,25476,0
482,44314,1
483,29020,0
484,2017,0
485,24187,0
486,27980,0
487,9229,0
488,32738,0
489,15465,1
490,23820,0
491,20667,0
492,35462,0
493,2888,0
494,10283,0
495,4406,0
496,11259,0
497,4430,0
498,31356,0
499,37769,0
500,14485,0
501,41052,0
502,41995,1
503,18894,0
504,1957,0
505,17500,0
506,34022,0
507,41301,0
508,20877,0
509,34898,0
510,30207,0
511,12968,0
512,42538,0
513,35202,0
514,25698,0
515,30932,0
516,19904,0
517,17580,0
518,27550,0
519,5649,0
520,25196,1
521,19063,1
522,41328,0
523,2188,0
524,32965,0
525,20982,0
526,10490,0
527,6232,0
528,41018,0
529,8930,0
530,39012,0
531,13538,0
532,33858,0
533,176,0
534,31885,0
535,22749,0
536,31062,0
537,42636,1
538,18007,0
539,21522,0
540,20457,0
541,19793,0
542,39428,0
543,31202,0
544,39073,0
545,13643,0
546,26787,0
547,19445,1
548,11390,0
549,26699,0
550,27643,0
551,36140,0
552,34119,0
553,26204,0
554,16877,0
555,31569,0
556,12649,0
557,30936,0
558,31626,0
559,32056,0
560,42010,0
561,35142,0
562,36942,0
563,8564,0
564,34533,0
565,28779,0
566,34920,0
567,24736,0
568,27653,0
569,40219,1
570,14636,0
571,17393,0
572,36507,0
573,44565,0
574,24589,0
575,30253,0
576,15905,0
577,41924,1
578,1979,0
579,39780,0
580,34121,0
581,35038,0
582,16824,0
583,29856,0
584,32975,0
585,12079,0
586,37981,0
587,37332,0
588,35781,0
589,9738,0
590,22039,0
591,44513,1
592,32688,0
593,27902,0
594,22651,0
595,39052,0
596,30981,0
597,24354,0
598,42311,1
599,20769,0
600,10643,0
601,36913,0
602,12164,0
603,16267,0
604,10202,0
605,15443,0
606,33780,0
607,10451,0
608,10635,0
609,15970,0
610,22125,0
611,39053,0
612,10508,0
613,24687,0
614,30971,0
615,39045,0
616,32070,0
617,9915,0
618,32003,0
619,27373,0
620,41107,0
621,33849,0
622,13092,0
623,8563,0
624,25988,0
625,35232,0
626,38289,0
627,23452,0
628,13205,0
629,37438,0
630,21835,0
631,27293,0
632,33602,0
633,2400,0
634,37282,0
635,14093,0
636,22386,0
637,43770,0
638,35375,0
639,16138,0
640,6926,0
641,8481,0
642,32732,0
643,8627,0
644,2686,0
645,9958,0
646,34398,0
647,22558,0
648,37019,0
649,6565,0
650,45206,0
651,39480,0
652,38229,1
653,2353,0
654,27405,0
655,28816,0
656,7094,0
657,28434,0
658,40562,0
659,20477,0
660,18792,0
661,15879,0
662,1631,0
663,10550,0
664,37269,0
665,16787,0
666,16420,0
667,11696,0
668,9219,1
669,23478,0
670,21172,0
671,218,0
672,13505,0
673,9629,0
674,35782,0
675,30652,0
676,42255,0
677,17729,0
678,31360,0
679,8148,0
680,25230,0
681,28856,0
682,6010,0
683,41303,0
684,27545,0
685,15605,0
686,3294,0
687,2508,0
688,27539,0
689,18300,0
690,15903,0
691,23729,0
692,35286,0
693,13692,0
694,44719,0
695,6615,0
696,22093,0
697,25257,0
698,19165,0
699,26842,0
700,5638,0
701,44462,0
702,5979,0
703,36142,0
704,9360,0
705,21845,0
706,38815,1
707,37636,0
708,43298,0
709,18579,0
710,19629,0
711,43739,0
712,5471,0
713,28811,0
714,42552,1
715,22161,0
716,1573,0
717,41620,0
718,13013,0
719,29645,0
720,26151,0
721,42154,0
722,38325,0
723,25960,0
724,30067,0
725,19714,0
726,16989,0
727,13749,0
728,21829,0
729,10085,0
730,37224,0
